blind_review_id,current_label,loop106_focus_bucket,loop106_focus_reasons,review_tags,content_evidence_fields,source_size_bytes,file_entropy,pe_parse_status,pe_number_of_sections,pe_section_names,pe_has_import_directory,pe_import_directory_size,pe_has_resource_directory,pe_resource_directory_size,pe_has_security_directory,pe_security_directory_size,overlay_size,overlay_entropy,overlay_after_security_size,overlay_after_security_entropy,duplicate_manifest_sha_group,manifest_duplicate_group_size,objective_issue_count,objective_issue_flags
blind-01317,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|many_sections|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,23430594,7.993970,ok,11,.text|.itext|.data|.bss|.idata|.didata|.edata|.tls|.rdata|.reloc|.rsrc,true,4160,true,18576,false,0,22600130,7.999991,22600130,7.999991,false,,0,
blind-01629,1,malicious_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|has_security_directory|security_directory_with_extra_overlay,has_resource_directory|has_security_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,31883264,7.989606,ok,5,.text|.rdata|.data|.rsrc|.reloc,true,100,true,444113,true,12768,31234048,7.998917,31208512,7.998920,false,,0,
blind-01558,1,malicious_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|has_security_directory|security_directory_with_extra_overlay,has_resource_directory|has_security_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,23435721,7.999902,ok,5,.text|.rdata|.data|.ndata|.rsrc,true,160,true,49896,true,11064,23351241,7.999981,78289,7.672393,false,,0,
blind-00156,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|has_security_directory|security_directory_with_extra_overlay|benign_label_malware_like_static_shape,has_resource_directory|has_security_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,12381744,7.993384,ok,7,.text|.rdata|.data|.pdata|_rdata|.rsrc|.reloc,true,120,true,69180,true,9640,12042288,7.998404,512,7.617694,false,,0,
blind-00202,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|many_sections|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,1477078,7.126397,ok,8,.text|.data|.tls|.rdata|.idata|.edata|.rsrc|.reloc,true,7303,true,397728,false,0,176086,7.961591,176086,7.961591,false,,0,
blind-00738,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|many_sections|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,1293790,7.151021,ok,8,.text|.data|.tls|.rdata|.idata|.edata|.rsrc|.reloc,true,7303,true,219648,false,0,176094,7.964302,176094,7.964302,false,,0,
blind-01186,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|many_sections|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,3697608,7.965530,ok,9,|        |        |        |        |.idata|.rsrc|.themida|.boot,true,444,true,1344,false,0,18888,7.490536,18888,7.490536,false,,0,
blind-01044,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|many_sections|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,12979408,7.988549,ok,10,|        |        |        |        |        |.idata|.rsrc|.themida|.boot,true,584,true,124922,false,0,14032,7.278049,14032,7.278049,false,,0,
blind-00830,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|many_sections|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,2962184,7.947816,ok,9,|        |        |        |        |.idata|.rsrc|.themida|.boot,true,416,true,2668,false,0,16136,7.419048,16136,7.419048,false,,0,
blind-01484,0,benign_label_content_review,overlay_present|high_overlay_entropy|post_security_overlay_present|high_post_security_overlay_entropy|high_file_entropy|many_sections|benign_label_malware_like_static_shape,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,4668136,7.969595,ok,9,|        |        |        |        |.idata|.rsrc|.themida|.boot,true,668,true,6740,false,0,16104,7.421500,16104,7.421500,false,,0,
